ILT_ILTCode,ILT_niveau,ILT_toev,ILT_NiveauIndex,ILT_Element_Opleidingsnaam,ILT_Element_Onderwijstype_Leerjaar,ILT_Element_LWOOIndicatie,ILT_Element_VMBOSector,ILT_Element_Afdeling,ILT_Element_RuimteALG,ILT_Element_RuimteSPEC,ILT_Element_RuimteGyml
3011,VMBO,Basisbg,1,VMBO Basisbg Lw LWT Tech Bouw,VMBO BL lj 3-4,N,Techniek,Bouwtechniek,4.69,8.99,1.38
3012,VMBO,Basisbg,1,VMBO Basisbg Lw LWT Tech Metaal,VMBO BL lj 3-4,N,Techniek,Metaaltechniek,4.69,8.99,1.38
3013,VMBO,Basisbg,1,VMBO Basisbg Lw LWT Tech Elektro,VMBO BL lj 3-4,N,Techniek,Elektrotechniek,4.69,8.99,1.38
3014,VMBO,Basisbg,1,VMBO Basisbg Lw LWT Tech Vrtgn,VMBO BL lj 3-4,N,Techniek,Voertuigentechniek,4.69,8.99,1.38
3015,VMBO,Basisbg,1,,,,,,,,
3016,VMBO,Basisbg,1,,,,,,,,
3017,VMBO,Basisbg,1,,,,,,,,
3018,VMBO,Basisbg,1,,,,,,,,
3019,VMBO,Basisbg,1,,,,,,,,
3020,VMBO,Basisbg,1,,,,,,,,
3021,VMBO,Basisbg,1,,,,,,,,
3022,VMBO,Basisbg,1,,,,,,,,
3023,VMBO,Basisbg,1,,,,,,,,
3031,VMBO,Basisbg,1,,,,,,,,
3032,VMBO,Basisbg,1,VMBO Basisbg Lw LWT ZrgWlz Uit Vz,VMBO BL lj 3-4,N,Zorg & Welzijn,Uiterlijke Verzorging,4.71,4.22,1.38
3041,VMBO,Basisbg,1,VMBO Basisbg Lw LWT ZrgWlz ZW-ISP,VMBO BL lj 3-4,N,Zorg & Welzijn,Zorg en Welzijn -ISP,4.71,4.22,1.38
3051,VMBO,Basisbg,1,,,,,,,,
3052,VMBO,Basisbg,1,,,,,,,,
3053,VMBO,Basisbg,1,,,,,,,,
3054,VMBO,Basisbg,1,VMBO Basisbg Lw LWT Ec Cons,VMBO BL lj 3-4,N,Economie,Consumptief,5.56,2.25,1.38
3061,VMBO,Basisbg,1,VMBO Basisbg Lw LWT Ec CB-ISP,VMBO BL lj 3-4,N,Economie,Consumptief Breed -ISP,5.56,2.25,1.38
3062,VMBO,Basisbg,1,VMBO Basisbg Lw LWT Ec HA-ISP,VMBO BL lj 3-4,N,Economie,Handel en Administratie -ISP,5.56,2.25,1.38
3071,VMBO,Basisbg,1,,,,,,,,
3081,VMBO,Basisbg,1,,,,,,,,
3111,LWOO,Basisbg,1,,,,,,,,
3112,LWOO,Basisbg,1,,,,,,,,
3113,LWOO,Basisbg,1,,,,,,,,
3114,LWOO,Basisbg,1,,,,,,,,
3115,LWOO,Basisbg,1,,,,,,,,
3116,LWOO,Basisbg,1,,,,,,,,
3117,LWOO,Basisbg,1,,,,,,,,
3118,LWOO,Basisbg,1,,,,,,,,
3119,LWOO,Basisbg,1,,,,,,,,
3120,LWOO,Basisbg,1,,,,,,,,
3121,LWOO,Basisbg,1,,,,,,,,
3122,LWOO,Basisbg,1,,,,,,,,
3123,LWOO,Basisbg,1,,,,,,,,
3131,LWOO,Basisbg,1,,,,,,,,
3132,LWOO,Basisbg,1,,,,,,,,
3141,LWOO,Basisbg,1,,,,,,,,
3151,LWOO,Basisbg,1,,,,,,,,
3152,LWOO,Basisbg,1,,,,,,,,
3153,LWOO,Basisbg,1,,,,,,,,
3154,LWOO,Basisbg,1,,,,,,,,
3161,LWOO,Basisbg,1,,,,,,,,
3162,LWOO,Basisbg,1,,,,,,,,
3171,LWOO,Basisbg,1,LWOO Basisbg Lw A O Landb LNO,VMBO BL lj 3-4,J,Landbouw,Landbouw en Natuurlijke Omgeving,5.03,4.69,1.26
3181,LWOO,Basisbg,1,,,,,,,,
3211,VMBO,Basisbg,1,,,,,,,,
3212,VMBO,Basisbg,1,,,,,,,,
3213,VMBO,Basisbg,1,,,,,,,,
3214,VMBO,Basisbg,1,,,,,,,,
3215,VMBO,Basisbg,1,,,,,,,,
3216,VMBO,Basisbg,1,,,,,,,,
3217,VMBO,Basisbg,1,,,,,,,,
3218,VMBO,Basisbg,1,,,,,,,,
3219,VMBO,Basisbg,1,,,,,,,,
3220,VMBO,Basisbg,1,,,,,,,,
3221,VMBO,Basisbg,1,,,,,,,,
3222,VMBO,Basisbg,1,,,,,,,,
3223,VMBO,Basisbg,1,,,,,,,,
3231,VMBO,Basisbg,1,,,,,,,,
3232,VMBO,Basisbg,1,,,,,,,,
3241,VMBO,Basisbg,1,,,,,,,,
3251,VMBO,Basisbg,1,,,,,,,,
3252,VMBO,Basisbg,1,,,,,,,,
3253,VMBO,Basisbg,1,,,,,,,,
3254,VMBO,Basisbg,1,,,,,,,,
3261,VMBO,Basisbg,1,,,,,,,,
3262,VMBO,Basisbg,1,,,,,,,,
3271,VMBO,Basisbg,1,VMBO Basisbg Lw A.O.Landb LNO,VMBO BL lj 3-4,N,Landbouw,Landbouw en Natuurlijke Omgeving,5.37,2.34,1.38
3281,VMBO,Basisbg,1,,,,,,,,
3311,LWOO,Basisbg,1,LWOO Basisbg Lw TB-ISP,VMBO BL lj 3-4,J,Techniek,Techniek Breed -ISP,4.44,12.72,1.26
3312,LWOO,Kaderbg,2,LWOO Kaderbg Lw TB-ISP,VMBO KL lj 3-4,J,Techniek,Techniek Breed -ISP,4.44,12.72,1.26
3313,LWOO,Gemengde,3,,,,,,,,
3314,LWOO,Basisbg,1,,,,,,,,
3321,LWOO,Basisbg,1,LWOO Basisbg Lw ICT-route,VMBO BL lj 3-4,J,Intersect. programma,ICT -route,4.44,12.72,1.26
3322,LWOO,Kaderbg,2,LWOO Kaderbg Lw ICT-route,VMBO KL lj 3-4,J,Intersect. programma,ICT -route,4.44,12.72,1.26
3323,LWOO,Gemengde,3,LWOO Gemengde Lw ICT-route,VMBO GL lj 3-4,J,Intersect. programma,ICT -route,4.44,12.72,1.26
3324,LWOO,Basisbg,1,,,,,,,,
3331,LWOO,Basisbg,1,LWOO Basisbg Lw SDV,VMBO BL lj 3-4,J,Intersect. programma,"Sport, Dienstverlening en Veiligheid",4.85,5.53,1.26
3332,LWOO,Kaderbg,2,LWOO Kaderbg Lw SDV,VMBO KL lj 3-4,J,Intersect. programma,"Sport, Dienstverlening en Veiligheid",4.85,5.53,1.26
3334,LWOO,Basisbg,1,,,,,,,,
3341,LWOO,Gemengde,3,LWOO Gemengde Lw Technologie(orientatie),VMBO GL lj 3-4,J,Intersect. programma,Technologie Oriëntatie,4.44,12.72,1.26
3342,LWOO,Gemengde,3,LWOO Gemengde Lw Techn. Technologie,VMBO GL lj 3-4,J,Techniek,Technologie Oriëntatie,4.44,12.72,1.26
3343,LWOO,Gemengde,3,,,,,,,,
3344,LWOO,Gemengde,3,,,,,,,,
3351,LWOO,Basisbg,1,LWOO Basisbg Lw T & C,VMBO BL lj 3-4,J,Intersect. Programma,Techniek & Commercie,4.44,12.72,1.57
3352,LWOO,Kaderbg,2,,,J,,,,,
3353,LWOO,Gemengde,3,,,,,,,,
3354,LWOO,Basisbg,1,,,,,,,,
3361,LWOO,Basisbg,1,,,,,,,,
3362,LWOO,Kaderbg,2,,,,,,,,
3363,LWOO,Gemengde,3,LWOO Gemengde Lw T & D,VMBO GL lj 3-4,J,Intersect. Programma,Techniek & Dienstverlening,4.44,12.72,1.57
3364,LWOO,Basisbg,1,,,,,,,,
3371,LWOO,Basisbg,1,LWOO Basisbg Lw D & C,VMBO BL lj 3-4,J,Intersect. Programma,Dienstverlening & Commercie,5.85,3.06,1.26
3372,LWOO,Kaderbg,2,,,J,,,,,
3373,LWOO,Gemengde,3,LWOO Gemengde Lw D & C,VMBO GL lj 3-4,J,Intersect. programma,Dienstverlening & Commercie,5.85,3.06,1.26
