PrognLL_Brin,PrognLL_ImportJaar,PrognLL_PrognoseJaar,PrognLL_AantalLL,PrognLL_InvoerWie,PrognLL_InvoerWanneer
15ZL01,2011,2014,172,eneheuvel,23-09-11
15ZL01,2011,2015,172,eneheuvel,23-09-11
15ZL01,2011,2016,170,eneheuvel,23-09-11
16KK00,2010,2010,361,eneheuvel,23-09-11
16KK00,2011,2011,331,eneheuvel,23-09-11
16KK00,2011,2012,318,eneheuvel,23-09-11
16KK00,2011,2017,360,eneheuvel,23-09-11
16KK00,2011,2018,377,eneheuvel,23-09-11
16KK00,2011,2019,383,eneheuvel,23-09-11
16KK00,2011,2020,388,eneheuvel,23-09-11
16KK00,2011,2025,404,eneheuvel,23-09-11
16KK00,2011,2030,398,eneheuvel,23-09-11
16KK00,2011,2035,384,eneheuvel,23-09-11
16KK00,2011,2013,311,eneheuvel,23-09-11
16KK00,2011,2014,321,eneheuvel,23-09-11
16KK00,2011,2015,331,eneheuvel,23-09-11
16KK00,2011,2016,343,eneheuvel,23-09-11
16LJ00,2010,2010,131,eneheuvel,23-09-11
16LJ00,2011,2011,133,eneheuvel,23-09-11
16LJ00,2011,2012,127,eneheuvel,23-09-11
16LJ00,2011,2017,126,eneheuvel,23-09-11
16LJ00,2011,2018,129,eneheuvel,23-09-11
16LJ00,2011,2019,128,eneheuvel,23-09-11
16LJ00,2011,2020,129,eneheuvel,23-09-11
16LJ00,2011,2025,132,eneheuvel,23-09-11
16LJ00,2011,2030,140,eneheuvel,23-09-11
16LJ00,2011,2035,149,eneheuvel,23-09-11
16LJ00,2011,2013,124,eneheuvel,23-09-11
16LJ00,2011,2014,124,eneheuvel,23-09-11
16LJ00,2011,2015,123,eneheuvel,23-09-11
16LJ00,2011,2016,125,eneheuvel,23-09-11
16ML00,2010,2010,280,eneheuvel,23-09-11
16ML00,2011,2011,261,eneheuvel,23-09-11
16ML00,2011,2012,253,eneheuvel,23-09-11
16ML00,2011,2017,270,eneheuvel,23-09-11
16ML00,2011,2018,283,eneheuvel,23-09-11
16ML00,2011,2019,285,eneheuvel,23-09-11
16ML00,2011,2020,286,eneheuvel,23-09-11
16ML00,2011,2025,292,eneheuvel,23-09-11
16ML00,2011,2030,283,eneheuvel,23-09-11
16ML00,2011,2035,277,eneheuvel,23-09-11
16ML00,2011,2013,243,eneheuvel,23-09-11
16ML00,2011,2014,252,eneheuvel,23-09-11
16ML00,2011,2015,256,eneheuvel,23-09-11
16ML00,2011,2016,263,eneheuvel,23-09-11
16OC00,2010,2010,419,eneheuvel,23-09-11
16OC00,2011,2011,342,eneheuvel,23-09-11
16OC00,2011,2012,350,eneheuvel,23-09-11
16OC00,2011,2017,287,eneheuvel,23-09-11
16OC00,2011,2018,269,eneheuvel,23-09-11
16OC00,2011,2019,268,eneheuvel,23-09-11
16OC00,2011,2020,270,eneheuvel,23-09-11
16OC00,2011,2025,280,eneheuvel,23-09-11
16OC00,2011,2030,315,eneheuvel,23-09-11
16OC00,2011,2035,345,eneheuvel,23-09-11
16OC00,2011,2013,357,eneheuvel,23-09-11
16OC00,2011,2014,348,eneheuvel,23-09-11
16OC00,2011,2015,334,eneheuvel,23-09-11
16OC00,2011,2016,310,eneheuvel,23-09-11
AJ4900,2011,2011,171,eneheuvel,23-09-11
AJ4900,2011,2012,158,eneheuvel,23-09-11
AJ4900,2011,2017,137,eneheuvel,23-09-11
AJ4900,2011,2018,139,eneheuvel,23-09-11
AJ4900,2011,2019,141,eneheuvel,23-09-11
AJ4900,2011,2020,144,eneheuvel,23-09-11
AJ4900,2011,2025,163,eneheuvel,23-09-11
AJ4900,2011,2030,184,eneheuvel,23-09-11
AJ4900,2011,2035,202,eneheuvel,23-09-11
AJ4900,2011,2013,138,eneheuvel,23-09-11
AJ4900,2011,2014,138,eneheuvel,23-09-11
AJ4900,2011,2015,138,eneheuvel,23-09-11
AJ4900,2011,2016,137,eneheuvel,23-09-11
16UK00,2010,2010,156,eneheuvel,23-09-11
16UK00,2011,2011,132,eneheuvel,23-09-11
16UK00,2011,2012,126,eneheuvel,23-09-11
16UK00,2011,2017,158,eneheuvel,23-09-11
16UK00,2011,2018,168,eneheuvel,23-09-11
16UK00,2011,2019,173,eneheuvel,23-09-11
16UK00,2011,2020,178,eneheuvel,23-09-11
16UK00,2011,2025,187,eneheuvel,23-09-11
16UK00,2011,2030,193,eneheuvel,23-09-11
16UK00,2011,2035,185,eneheuvel,23-09-11
16UK00,2011,2013,128,eneheuvel,23-09-11
16UK00,2011,2014,131,eneheuvel,23-09-11
16UK00,2011,2015,137,eneheuvel,23-09-11
16UK00,2011,2016,147,eneheuvel,23-09-11
16WV00,2010,2010,157,eneheuvel,23-09-11
16WV00,2011,2011,151,eneheuvel,23-09-11
16WV00,2011,2012,154,eneheuvel,23-09-11
16WV00,2011,2017,145,eneheuvel,23-09-11
16WV00,2011,2018,146,eneheuvel,23-09-11
16WV00,2011,2019,145,eneheuvel,23-09-11
16WV00,2011,2020,144,eneheuvel,23-09-11
16WV00,2011,2025,148,eneheuvel,23-09-11
16WV00,2011,2030,168,eneheuvel,23-09-11
16WV00,2011,2035,189,eneheuvel,23-09-11
16WV00,2011,2013,150,eneheuvel,23-09-11
16WV00,2011,2014,148,eneheuvel,23-09-11
16WV00,2011,2015,144,eneheuvel,23-09-11
16WV00,2011,2016,143,eneheuvel,23-09-11
16YS00,2010,2010,197,eneheuvel,23-09-11
16YS00,2011,2011,196,eneheuvel,23-09-11
16YS00,2011,2012,202,eneheuvel,23-09-11
16YS00,2011,2017,187,eneheuvel,23-09-11
16YS00,2011,2018,187,eneheuvel,23-09-11
16YS00,2011,2019,186,eneheuvel,23-09-11
16YS00,2011,2020,184,eneheuvel,23-09-11
16YS00,2011,2025,188,eneheuvel,23-09-11
16YS00,2011,2030,207,eneheuvel,23-09-11
16YS00,2011,2035,227,eneheuvel,23-09-11
16YS00,2011,2013,196,eneheuvel,23-09-11
16YS00,2011,2014,193,eneheuvel,23-09-11
16YS00,2011,2015,188,eneheuvel,23-09-11
16YS00,2011,2016,186,eneheuvel,23-09-11
